Name,wiki-site,website
Vietnam National University Ho Chi Minh City ,Page not found,,http://www.vnuhcm.edu.vn/ 
Universitas Brawijaya ,https://en.wikipedia.org/wiki/Universitas Brawijaya
,http://ub.ac.id/ 
International Medical University ,https://en.wikipedia.org/wiki/International Medical University
,http://www.imu.edu.my/ 
Monash University Malaysia ,Page not found,,http://www.monash.edu.my/ 
Universitas Diponegoro ,https://en.wikipedia.org/wiki/Universitas Diponegoro
,http://www.undip.ac.id/ 
(3) University of the Philippines ,Page not found,,http://www.up.edu.ph/ 
Ateneo de Manila University ,https://en.wikipedia.org/wiki/Ateneo de Manila University
,http://www.ateneo.edu/ 
Universitas Airlangga ,https://en.wikipedia.org/wiki/Universitas Airlangga
,http://www.unair.ac.id/ 
Universiti Kuala Lumpur ,https://en.wikipedia.org/wiki/Universiti Kuala Lumpur
,http://www.unikl.edu.my/ 
Universiti Pendidikan Sultan Idris ,https://en.wikipedia.org/wiki/Universiti Pendidikan Sultan Idris
,http://www.upsi.edu.my/ 
Universitas Pendidikan Indonesia ,https://en.wikipedia.org/wiki/Universitas Pendidikan Indonesia
,http://www.upi.edu/ 
Singapore Polytechnic ,https://en.wikipedia.org/wiki/Singapore Polytechnic
,http://www.sp.edu.sg/ 
(3) University of the Philippines Los Baños ,Page not found,,http://www.uplb.edu.ph/ 
Rangsit University ,https://en.wikipedia.org/wiki/Rangsit University
,http://www.rsu.ac.th/ 
Universiti Sains Islam Malaysia ,https://en.wikipedia.org/wiki/Universiti Sains Islam Malaysia
,http://www.usim.edu.my/ 
Vietnam National University of Agriculture (Hanoi Agricultural University) ,Page not found,,http://www.vnua.edu.vn/ 
Universiti Malaysia Kelantan ,https://en.wikipedia.org/wiki/Universiti Malaysia Kelantan
,http://www.umk.edu.my/ 
University of Santo Tomas ,https://en.wikipedia.org/wiki/University of Santo Tomas
,http://www.ust.edu.ph/ 
Universitas Sebelas Maret UNS Surakarta ,Page not found,,http://uns.ac.id/ 
Mahanakorn University of Technology ,https://en.wikipedia.org/wiki/Mahanakorn University of Technology
,http://www.mut.ac.th/ 
Universitas Udayana ,Page not found,,http://www.unud.ac.id/ 
Assumption University of Thailand ,https://en.wikipedia.org/wiki/Assumption University of Thailand
,http://www.au.edu/ 
Institut Teknologi Sepuluh Nopember ,https://en.wikipedia.org/wiki/Institut Teknologi Sepuluh Nopember
,http://www.its.ac.id/ 
National Defence University of Malaysia ,https://en.wikipedia.org/wiki/National Defence University of Malaysia
,http://www.upnm.edu.my/ 
Universitas Binus Nusantara ,Page not found,,http://binus.ac.id/ 
Suan Dusit University ,Page not found,,http://www.dusit.ac.th/ 
Universitas Jenderal Soedirman ,Page not found,,http://www.unsoed.ac.id/ 
Universiti Sultan Zainal Abidin (Universiti Darul Iman Malaysia) ,Page not found,,http://www.unisza.edu.my/ 
University of San Carlos ,https://en.wikipedia.org/wiki/University of San Carlos
,http://usc.edu.ph/ 
Suan Sunandha Rajabhat University ,Page not found,,http://www.ssru.ac.th/ 
Universitas Gunadarma ,Page not found,,http://www.gunadarma.ac.id/ 
Bangkok University ,https://en.wikipedia.org/wiki/Bangkok University
,http://www.bu.ac.th/ 
Universitas Dian Nuswantoro ,Page not found,,http://www.dinus.ac.id/ 
Universitas Islam Indonesia ,https://en.wikipedia.org/wiki/Universitas Islam Indonesia
,http://www.uii.ac.id/ 
Hanoi University of Mining and Geology ,https://en.wikipedia.org/wiki/Hanoi University of Mining and Geology
,http://humg.edu.vn/ 
Ramkhamhaeng University ,https://en.wikipedia.org/wiki/Ramkhamhaeng University
,http://www.ru.ac.th/ 
Universitas Lampung ,Page not found,,http://www.unila.ac.id/ 
Maejo University ,https://en.wikipedia.org/wiki/Maejo University
,http://www.mju.ac.th/ 
Universitas Islam Negeri UIN Syarif Hidayatullah Jakarta ,Page not found,,http://www.uinjkt.ac.id/ 
Sripatum University ,https://en.wikipedia.org/wiki/Sripatum University
,http://www.spu.ac.th/ 
Universitas Kristen Satya Wacana ,https://en.wikipedia.org/wiki/Universitas Kristen Satya Wacana
,http://www.uksw.edu/ 
Thai Nguyen University ,Page not found,,http://www.tnu.edu.vn/ 
INTI International University ,https://en.wikipedia.org/wiki/INTI International University
,http://newinti.edu.my/ 
Universitas Negeri Yogyakarta ,https://en.wikipedia.org/wiki/Universitas Negeri Yogyakarta
,http://www.uny.ac.id/ 
National Institute of Development Administration ,https://en.wikipedia.org/wiki/National Institute of Development Administration
,http://www.nida.ac.th/ 
HELP University ,https://en.wikipedia.org/wiki/HELP University
,http://help.edu.my/ 
Open University Malaysia ,https://en.wikipedia.org/wiki/Open University Malaysia
,http://www.oum.edu.my/ 
University of Da Nang ,https://en.wikipedia.org/wiki/University of Da Nang
,http://www.udn.vn/ 
Hanoi Medical University ,https://en.wikipedia.org/wiki/Hanoi Medical University
,http://www.hmu.edu.vn/ 
Rajamangala University of Technology Thanyaburi ,https://en.wikipedia.org/wiki/Rajamangala University of Technology Thanyaburi
,http://www.rmutt.ac.th/ 
Al Madinah International University ,Page not found,,http://www.mediu.edu.my/ 
